Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
121,Trey McBride,Colorado State,MWC,4,22,330,15,4,0,0,,0,22,330,15,4,trey-mcbride-1
122,Will Mallory,Miami (FL),ACC,10,22,329,15,4,0,0,,0,22,329,15,4,will-mallory-1
123,Andrew Erickson,New Mexico,MWC,7,18,270,15,2,0,0,,0,18,270,15,2,andrew-erickson-1
124,Shane Hooks,Ohio,MAC,3,8,120,15,1,0,0,,0,8,120,15,1,shane-hooks-1
125,Jaquarii Roberson,Wake Forest,ACC,9,62,926,14.9,8,0,0,,0,62,926,14.9,8,jaquarii-roberson-1
126,Nathaniel Dell,Houston,American,8,29,428,14.8,3,0,0,,0,29,428,14.8,3,nathaniel-dell-1
127,Chris Pierce,Vanderbilt,SEC,8,25,371,14.8,5,0,0,,0,25,371,14.8,5,chris-pierce-2
128,Rakim Jarrett,Maryland,Big Ten,4,17,252,14.8,2,1,5,5,0,18,257,14.3,2,rakim-jarrett-1
129,Marlon Williams,UCF,American,8,71,1039,14.6,10,0,0,,0,71,1039,14.6,10,marlon-williams-5
130,Chris Olave,Ohio State,Big Ten,7,50,729,14.6,7,1,0,0,0,51,729,14.3,7,chris-olave-1
131,Marcell Barbee,Texas State,Sun Belt,11,40,584,14.6,10,0,0,,0,40,584,14.6,10,marcell-barbee-1
132,Yo'Heinz Tyler,Ball State,MAC,8,42,607,14.5,8,0,0,,0,42,607,14.5,8,yoheinz-tyler-1
133,Peter LeBlanc,Louisiana,Sun Belt,8,23,334,14.5,1,0,0,,0,23,334,14.5,1,peter-leblanc-1
134,T.J. Chase,Florida Atlantic,CUSA,8,23,334,14.5,2,0,0,,0,23,334,14.5,2,tj-chase-1
135,Malachi Carter,Georgia Tech,ACC,7,20,290,14.5,3,0,0,,0,20,290,14.5,3,malachi-carter-1
136,Danzel Mckinley-Lewis,Toledo,MAC,6,20,289,14.5,2,0,0,,0,20,289,14.5,2,danzel-mckinley-lewis-1
